date,value
2018-04-23,0.0001
2018-04-22,0.0
2018-04-21,0.0
2018-04-20,0.0
2018-04-19,0.0
2018-04-18,0.0
2018-04-17,0.0014
2018-04-16,0.0031
2018-04-15,0.0106
2018-04-14,0.0096
2018-04-13,0.0117
2018-04-12,0.0126
2018-04-11,0.0136
2018-04-10,0.0117
2018-04-09,0.0109
2018-04-08,0.0101
2018-04-07,0.012
2018-04-06,0.0118
2018-04-05,0.0115
2018-04-04,0.0076
2018-04-03,0.0068
2018-04-02,0.0201
2018-04-01,0.0195
2018-03-31,0.0116
2018-03-30,0.0105
2018-03-29,0.0103
2018-03-28,0.0122
2018-03-27,0.0122
2018-03-26,0.0129
2018-03-25,0.0118
2018-03-24,0.0127
2018-03-23,0.0145
2018-03-22,0.0129
2018-03-21,0.0121
2018-03-20,0.0129
2018-03-19,0.0131
2018-03-18,0.0135
2018-03-17,0.0129
2018-03-16,0.0127
2018-03-15,0.0132
2018-03-14,0.0119
2018-03-13,0.0124
2018-03-12,0.0141
2018-03-11,0.0125
2018-03-10,0.0123
2018-03-09,0.0119
2018-03-08,0.0124
2018-03-07,0.0117
2018-03-06,0.0129
2018-03-05,0.011
2018-03-04,0.0125
2018-03-03,0.0107
2018-03-02,0.0111
2018-03-01,0.0107
2018-02-28,0.0096
2018-02-27,0.0123
2018-02-26,0.0103
2018-02-25,0.0107
2018-02-24,0.0104
2018-02-23,0.001586237005344004
2018-02-22,0.0016238254496244104
2018-02-21,0.0016627555271280048
2018-02-20,0.0017059618889310694
2018-02-19,0.001746554777632969
2018-02-18,0.0017889038985373998
2018-02-17,0.0018308045643505783
2018-02-16,0.0018647532643925044
2018-02-15,0.0018936212960565335
2018-02-14,0.0018985079174932825
2018-02-13,0.0019056565333460263
2018-02-12,0.0019052800942697282
2018-02-11,0.0018996361230666954
2018-02-10,0.0018977558895163804
2018-02-09,0.0018970039488138165
2018-02-08,0.00189737990825491
2018-02-07,0.0019056565333460253
2018-02-06,0.0019052800942697273
2018-02-05,0.0018898648676889723
2018-02-04,0.0018827336766835037
2018-02-03,0.001903774555810894
2018-02-02,0.001917714074485953
2018-02-01,0.001885735320954025
2018-01-31,0.001855408508263915
2018-01-30,0.001853167813897865
2018-01-29,0.0018587710362749485
2018-01-28,0.0018621353468517205
2018-01-27,0.0018632571796055968
2018-01-26,0.0018602660654297362
2018-01-25,0.0018520477641560352
2018-01-24,0.0018527944419469504
2018-01-23,0.001847569549289331
2018-01-22,0.0018356431834110826
2018-01-21,0.001835643183411083
2018-01-20,0.0018337817334286828
2018-01-19,0.0018226246603118641
2018-01-18,0.0018126003657710438
2018-01-17,0.0017992598634585264
2018-01-16,0.0017896430294798854
2018-01-15,0.001788164857030945
2018-01-14,0.0017818866173711484
2018-01-13,0.0017818866173711484
2018-01-12,0.00178299407198154
2018-01-11,0.0017722971260574687
2018-01-10,0.0017715601009225595
2018-01-09,0.0017686128985145275
2018-01-08,0.00177082316558533
2018-01-07,0.001769717930983994
2018-01-06,0.0017700863200612578
2018-01-05,0.0017689812202086924
2018-01-04,0.0017730342409745866
2018-01-03,0.001756470897038607
2018-01-02,0.0017586767108655201
2018-01-01,0.0017627228079543026
2017-12-31,0.001763826761502901
2017-12-30,0.0017671398364063318
2017-12-29,0.00176493091746274
2017-12-28,0.0017722971260574682
2017-12-27,0.0017818866173711493
2017-12-26,0.001788903898537399
2017-12-25,0.001795559294882232
2017-12-24,0.0017992598634585255
2017-12-23,0.0018059265066350358
2017-12-22,0.0018111166629265153
2017-12-21,0.001821138558157926
2017-12-20,0.001823367844516668
2017-12-19,0.0018267132712794744
2017-12-18,0.0018215100504097666
2017-12-17,0.0018044444063833717
2017-12-16,0.0018051854119586932
2017-12-15,0.001809633316002145
2017-12-14,0.001810374944966763
2017-12-13,0.0018203956402387848
2017-12-12,0.0018259696878989875
2017-12-11,0.001825969687898987
2017-12-10,0.0018315487237837145
2017-12-09,0.0018319208367140376
2017-12-08,0.0018248544791070246
2017-12-07,0.0018348985370408755
2017-12-06,0.0018322929717843797
2017-12-05,0.0018140844244150232
2017-12-04,0.001777827675310011
2017-12-03,0.001770454731595681
2017-12-02,0.001769717930983993
2017-12-01,0.0017708231655853292
2017-11-30,0.001772665672294217
2017-11-29,0.0017693495643658257
2017-11-28,0.0017630907699771226
2017-11-27,0.0017590444253255965
2017-11-26,0.0017630907699771226
2017-11-25,0.0017465547776329667
2017-11-24,0.0017377542682672322
2017-11-23,0.0017322605672537377
2017-11-22,0.0016994056605263701
2017-11-21,0.0016779677436938182
2017-11-20,0.0016508315838231805
2017-11-19,0.001614852453083159
2017-11-18,0.0016051779936681308
2017-11-17,0.0016019569602213617
2017-11-16,0.0015876642148829568
2017-11-15,0.0015798192175990283
2017-11-14,0.0015698511568974537
2017-11-13,0.0015510337436939207
2017-11-12,0.0015361691370798635
2017-11-11,0.001521698969873885
2017-11-10,0.0015069175459620301
2017-11-09,0.0014900763521443314
2017-11-08,0.0014760844599106873
2017-11-07,0.0014652673808951196
2017-11-06,0.001450649227223129
2017-11-05,0.001434688234219711
2017-11-04,0.0014350346619644982
2017-11-03,0.001422233170752897
2017-11-02,0.0014104993125372374
2017-11-01,0.0013981063163361089
2017-10-31,0.001392952032806202
2017-10-30,0.001381974888605518
2017-10-29,0.0013580513297466203
2017-10-28,0.0013386613907602912
2017-10-27,0.0013271344341677868
2017-10-26,0.0013132731930511636
2017-10-25,0.0012984452420724145
2017-10-24,0.0012846727738281185
2017-10-23,0.0012699405268357788
2017-10-22,0.0012505970092545526
